ID,Date,Element,Data_Value
CA006116679,2013-07-31,TMIN,85
CA006127890,2005-06-18,TMIN,125
CA006128206,2006-12-21,TMIN,-20
CA006119274,2005-05-12,TMIN,-20
CA006116679,2012-08-19,TMAX,220
CA006114979,2013-07-04,TMAX,280
CA006114979,2008-02-04,TMAX,45
CA006128206,2005-04-27,TMIN,50
CA006119500,2008-11-17,TMIN,-43
CA006128206,2005-06-25,TMIN,180
CA006127890,2008-02-17,TMAX,75
CA006116132,2006-06-08,TMAX,240
CA006119274,2006-03-06,TMAX,-20
CA006128206,2006-04-26,TMIN,0
CA006116679,2006-09-13,TMAX,170
CA006114979,2012-09-01,TMAX,280
CA006128206,2006-12-21,TMAX,50
CA006114979,2008-02-04,TMIN,-40
CA006119500,2012-11-26,TMAX,1
